"module","controller","action","http_method","mutating","antiforgery","is_api","permission_attributes","inherited_permission","in_body_authorization","file"
"Identity","AccountingController","CustomersExport","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VendorsExport","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SalesInvoicesExport","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PurchaseInvoicesExport","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ReceiptsExport","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PaymentsExport","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","JournalsExport","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomersSuggest","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SaveCustomer","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SalesInvoices","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SalesInvoicesData","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","NewSalesInvoice","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateSalesInvoice","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","True","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","EditSalesInvoice","GET","False","False","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","UpdateSalesInvoice","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","True","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SalesReturns","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","NewSalesReturn","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateSalesReturn","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","EditSalesReturn","GET","False","False","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","UpdateSalesReturn","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SalesReturnDetail","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Receipts","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ReceiptsData","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateReceipt","POST","True","True","False","CrossBuy.Models.AccPerm(""pay"")","SessionValidation","True","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ArAging","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomerAnalytics","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomerAnalyticsExport","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Vendors","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VendorsData","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VendorsSuggest","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SaveVendor","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VendorQuickAdd","POST","True","True","False","CrossBuy.Models.ApiPerm(CrossBuy.Models.ApiPermAttribute.Accounting, ""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomerQuickAdd","POST","True","True","False","CrossBuy.Models.ApiPerm(CrossBuy.Models.ApiPermAttribute.Accounting, ""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PurchaseInvoices","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PurchaseInvoicesData","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","NewPurchaseInvoice","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreatePurchaseInvoice","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","True","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","MatchReceipts","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateInvoiceFromReceipt","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","EditPurchaseInvoice","GET","False","False","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","UpdatePurchaseInvoice","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","True","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PurchaseReturns","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","NewPurchaseReturn","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreatePurchaseReturn","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","EditPurchaseReturn","GET","False","False","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","UpdatePurchaseReturn","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PurchaseReturnDetail","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Payments","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PaymentsData","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreatePayment","POST","True","True","False","CrossBuy.Models.AccPerm(""pay"")","SessionValidation","True","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ApAging","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","BankAccounts","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateBankAccount","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CashBoxes","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateCashBox","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Transfer","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DoTransfer","POST","True","True","False","CrossBuy.Models.AccPerm(""pay"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Reconcile","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DoReconcile","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Reconciliations","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Ledger","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","FixedAssets","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateFixedAsset","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","FixedAssetDetail","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SaveMaintenanceSchedule","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DeleteMaintenanceSchedule","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","LogMaintenance","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","MaintenanceDue","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DisposeAsset","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","AssetCategories","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateAssetCategory","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DepreciationRuns","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","RunDepreciation","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DepreciationRunDetail","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","TaxCodes","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateTaxCode","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
