"module","controller","file","base","is_api","class_attributes","ctor_dependencies","direct_dbcontext","uses_session","uses_scopedtx","uses_notify","uses_businessevent","lines"
"Other","HomeController","CrossBuy/Controllers/HomeController.cs","Controller","False","","ILogger<HomeController>;IStringLocalizer<SharedResources>;CrossBuy.BL.IStoreCatalogService;CrossBuy.BL.Platform.ICompanyIsolationBypass","False","False","False","False","False","64"
"Other","HyperController","CrossBuy/Controllers/HyperController.cs","Controller","False","Route(""hyper"")","IPosSetupService;CrossDbContext;ICurrencyService;ICurrencyRounding","True","False","False","False","False","223"
"Other","HyperPosController","CrossBuy/Controllers/HyperPosController.cs","Controller","False","Route(""hyper/pos"");CrossBuy.Models.PosLaneActivityGuard(""HyperCtx"", ""hyper"", ""/hyper/pos/login"")","SignInManager<Users>;UserManager<Users>;IPosAccessService;IPosSetupService;IPosOrderService;CrossBuy.BL.ICurrencyRounding;CrossBuy.BL.IPricingService;CrossBuy.BL.IReceivableService;CrossDbContext;IStringLocalizer<CrossBuy.SharedResources>","True","True","False","False","False","549"
"Inventory","InventoryController","CrossBuy/Controllers/InventoryController.cs","Controller","False","SessionValidation","IItemService;IWarehouseService;IChartOfAccountsService;CrossDbContext;IWebHostEnvironment;IStockService;IProcurementService;ISellingService;IInventoryAccessService;IInventoryApprovalService;IOpeningBalanceService;IIntegrityCheckService;IPricingService;IThreeWayMatchService;ICurrencyService;IAccountingAccessService;IManufService;IShelfLabelService;ICurrencyRounding;CrossBuy.BL.Platform.IRequestCompanyResolver;IStringLocalizer<CrossBuy.SharedResources>","True","False","False","False","False","2603"
"Communication","NotificationsController","CrossBuy/Controllers/NotificationsController.cs","Controller","False","SessionValidation","IEmployeeService;CrossDbContext","True","False","False","False","False","93"
"HR","PeopleController","CrossBuy/Controllers/PeopleController.cs","Controller","False","","CrossDbContext;CrossBuy.BL.INotificationService;CrossBuy.BL.ILeaveDashboardService;CrossBuy.BL.ILeaveWorkflowService;CrossBuy.BL.IEmployeeRequestService;//;for;CrossBuy.BL.Platform.IBusinessContextAccessor;IStringLocalizer<CrossBuy.SharedResources>","True","True","False","False","False","554"
"Platform","PlatformTimelineController","CrossBuy/Controllers/PlatformTimelineController.cs","Controller","False","SessionValidation","ITimelineProjectionService;IEntityRegistry;IBusinessContextAccessor","False","False","False","False","False","65"
"Shell","PortalController","CrossBuy/Controllers/PortalController.cs","Controller","False","","","False","True","False","False","False","21"
"POS","PosAppController","CrossBuy/Controllers/PosAppController.cs","Controller","False","Route(""pos"");CrossBuy.Models.PosLaneActivityGuard(""PosCtx"", ""restaurant"", ""/pos/login"")","SignInManager<Users>;UserManager<Users>;IPosAccessService;IPosSetupService;IPosOrderService;IBrandService;IReceivableService;CrossDbContext;Microsoft.AspNetCore.SignalR.IHubContext<CrossBuy.Hubs.PosHub>;IStringLocalizer<CrossBuy.SharedResources>","True","True","False","False","False","858"
"POS","PosController","CrossBuy/Controllers/PosController.cs","Controller","False","SessionValidation","IPosSetupService;IWarehouseService;CrossDbContext;IPosOrderService;IReceivableService;PosAccessService;CrossBuy.BL.Platform.IRequestCompanyResolver;CrossBuy.BL.Platform.IBusinessContextAccessor;AccountingAccessService;IStringLocalizer<CrossBuy.SharedResources>","True","False","False","False","False","881"
"Projects","ProjectController","CrossBuy/Controllers/ProjectController.cs","Controller","False","SessionValidation","IProjectService;IBoqService;IContractService;IProgressService;IProgressBillingService;IProjectMaterialIssueService;IProjectLaborService;IProjectBudgetService;ISubcontractBillingService;IVariationOrderService;IEquipmentDepreciationService;ICostCenterService;CrossDbContext;//;for;CrossBuy.BL.Platform.IBusinessContextAccessor;CrossBuy.BL.Platform.IRequestCompanyResolver;AccountingAccessService;IStringLocalizer<CrossBuy.SharedResources>","True","False","False","False","False","723"
"Other","ServiceController","CrossBuy/Controllers/ServiceController.cs","Controller","False","SessionValidation","ICompanyService;IStringLocalizer<CrossBuy.SharedResources>","False","False","False","False","False","231"
"Retail","StoreController","CrossBuy/Controllers/StoreController.cs","Controller","False","AllowAnonymous","CrossBuy.BL.IStoreCatalogService;CrossBuy.BL.IIdProtector;CrossBuy.BL.Platform.ICompanyIsolationBypass","False","False","False","False","False","51"
"Tasks","TasksController","CrossBuy/Controllers/TasksController.cs","Controller","False","","ITaskService;ITaskLinkResolver;ITimesheetService;ITaskCostService;ITaskBillingService;ITaskGeneratorService;ITaskReportService;ITaskScheduleMatcher;//;for;CrossBuy.BL.Platform.IBusinessContextAccessor;CrossBuy.BL.Platform.IRequestCompanyResolver;AccountingAccessService","False","True","False","False","False","334"
