"module","controller","action","http_method","route_attribute","is_api","mutating","antiforgery","permission_attributes","inherited_permission","in_body_authorization","action_attributes","uses_scopedtx","uses_notify","uses_businessevent","file"
"Identity","AccountingController","Payroll","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PostPayroll","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PayrollDisbursement","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DisbursePayroll","POST","","False","True","True","CrossBuy.Models.AccPerm(""pay"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""pay"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","RemitStatutory","POST","","False","True","True","CrossBuy.Models.AccPerm(""pay"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""pay"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PayrollTaxSettings","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SavePayrollSettings","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SavePayrollBracket","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DeletePayrollBracket","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Payslips","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Payslip","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Customers","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomersData","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomersExport","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VendorsExport","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SalesInvoicesExport","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PurchaseInvoicesExport","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ReceiptsExport","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PaymentsExport","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","JournalsExport","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomersSuggest","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SaveCustomer","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SalesInvoices","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SalesInvoicesData","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","NewSalesInvoice","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateSalesInvoice","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","True","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","EditSalesInvoice","GET","","False","False","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpGet;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","UpdateSalesInvoice","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","True","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SalesReturns","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","NewSalesReturn","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateSalesReturn","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","EditSalesReturn","GET","","False","False","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpGet;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","UpdateSalesReturn","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SalesReturnDetail","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Receipts","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ReceiptsData","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateReceipt","POST","","False","True","True","CrossBuy.Models.AccPerm(""pay"")","SessionValidation","True","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""pay"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ArAging","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomerAnalytics","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomerAnalyticsExport","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Vendors","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VendorsData","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VendorsSuggest","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SaveVendor","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VendorQuickAdd","POST","","False","True","True","CrossBuy.Models.ApiPerm(CrossBuy.Models.ApiPermAttribute.Accounting, ""post"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.ApiPerm(CrossBuy.Models.ApiPermAttribute.Accounting, ""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomerQuickAdd","POST","","False","True","True","CrossBuy.Models.ApiPerm(CrossBuy.Models.ApiPermAttribute.Accounting, ""post"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.ApiPerm(CrossBuy.Models.ApiPermAttribute.Accounting, ""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PurchaseInvoices","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PurchaseInvoicesData","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","NewPurchaseInvoice","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreatePurchaseInvoice","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","True","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","MatchReceipts","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateInvoiceFromReceipt","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","EditPurchaseInvoice","GET","","False","False","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpGet;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","UpdatePurchaseInvoice","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","True","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PurchaseReturns","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","NewPurchaseReturn","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreatePurchaseReturn","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","EditPurchaseReturn","GET","","False","False","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpGet;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","UpdatePurchaseReturn","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PurchaseReturnDetail","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Payments","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PaymentsData","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreatePayment","POST","","False","True","True","CrossBuy.Models.AccPerm(""pay"")","SessionValidation","True","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""pay"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ApAging","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","BankAccounts","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
