"module","controller","action","http_method","mutating","antiforgery","is_api","permission_attributes","inherited_permission","in_body_authorization","file"
"HR","AdminController","DeleteRequiredDocType","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Recruitment.cs"
"HR","AdminController","SaveTrainingCourse","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Training.cs"
"HR","AdminController","DeleteTrainingCourse","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Training.cs"
"HR","AdminController","EnrollEmployees","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Training.cs"
"HR","AdminController","SetEnrollmentStatus","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Training.cs"
"HR","AdminController","RemoveEnrollment","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Training.cs"
"Communication","AnnouncementsController","Create","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AnnouncementsController.cs"
"Communication","AnnouncementsController","Dismiss","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AnnouncementsController.cs"
"Communication","AnnouncementsController","Toggle","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AnnouncementsController.cs"
"Identity","AccountingApiController","CreateJournal","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AccountingApiController.cs"
"Identity","AccountingApiController","Post","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AccountingApiController.cs"
"Identity","AccountingApiController","Reverse","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AccountingApiController.cs"
"Identity","AccountingApiController","PayrollPost","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AccountingApiController.cs"
"Identity","AccountingApiController","CreateCustomer","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AccountingApiController.cs"
"Identity","AccountingApiController","CreateSalesInvoice","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AccountingApiController.cs"
"Identity","AccountingApiController","CreateReceipt","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AccountingApiController.cs"
"Identity","AccountingApiController","CreateVendor","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AccountingApiController.cs"
"Identity","AccountingApiController","CreatePurchaseInvoice","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AccountingApiController.cs"
"Identity","AccountingApiController","CreatePayment","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AccountingApiController.cs"
"AI","AiController","AnomalyJournalScan","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AiController.cs"
"AI","AiController","ForecastCashflow","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AiController.cs"
"AI","AiController","InventoryAnalyze","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AiController.cs"
"AI","AiController","Diag","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/AiController.cs"
"Other","AuthApiController","Login","POST","True","False","True","(none)","(none)","False","CrossBuy/Controllers/Api/AuthApiController.cs"
"Other","HrApiController","CreateJobTitle","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/HrApiController.cs"
"Other","HrApiController","UpdateJobTitle","PUT","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/HrApiController.cs"
"Other","LeaveApiController","Create","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/LeaveApiController.cs"
"Other","LeaveApiController","Decision","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/LeaveApiController.cs"
"Communication","NotificationsApiController","MarkRead","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = ""Identity.Application,"" + JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/NotificationsApiController.cs"
"Communication","NotificationsApiController","MarkAllRead","POST","True","False","True","(none)","Authorize(AuthenticationSchemes = ""Identity.Application,"" + JwtBearerDefaults.AuthenticationScheme)","False","CrossBuy/Controllers/Api/NotificationsApiController.cs"
"Retail","BrandController","SaveBrand","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/BrandController.cs"
"Retail","BrandController","DeleteBrand","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/BrandController.cs"
"Retail","BrandController","ActivateDefaultBrand","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/BrandController.cs"
"Communication","CalendarController","Save","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/CalendarController.cs"
"Communication","CalendarController","Delete","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/CalendarController.cs"
"Communication","ChatController","StartDirect","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/ChatController.cs"
"Communication","ChatController","CreateGroup","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/ChatController.cs"
"Communication","ChatController","Send","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/ChatController.cs"
"Communication","ChatController","Edit","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/ChatController.cs"
"Communication","ChatController","Delete","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/ChatController.cs"
"Communication","ChatController","React","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/ChatController.cs"
"Communication","ChatController","MarkRead","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/ChatController.cs"
"Communication","ChatController","AddMember","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/ChatController.cs"
"Communication","ChatController","RemoveMember","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/ChatController.cs"
"Communication","CommController","Send","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/CommController.cs"
"Communication","CommController","Trash","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/CommController.cs"
"Communication","CommController","Star","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/CommController.cs"
"Communication","CommController","Resend","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/CommController.cs"
"Communication","CommentsController","Add","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/CommentsController.cs"
"Communication","CommentsController","Delete","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/CommentsController.cs"
"Communication","FileManagerController","CreateFolder","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/FileManagerController.cs"
"Communication","FileManagerController","Rename","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/FileManagerController.cs"
"Communication","FileManagerController","Move","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/FileManagerController.cs"
"Communication","FileManagerController","Delete","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/FileManagerController.cs"
