module,cls,interface,di_lifetime,file,implements,is_background_worker,uses_dbcontext,uses_scopedtx,scopedtx_sites,uses_notify,uses_businessevent,uses_httpcontext,lines
Communication,CalendarService,ICalendarService,Scoped,CrossBuy/BL/CalendarService.cs,ICalendarService,False,True,False,0,False,False,False,132
Communication,ChatDirectoryDto,,(not registered),CrossBuy/BL/ChatService.cs,,False,True,False,0,True,False,False,426
Communication,ChatHeaderDto,,(not registered),CrossBuy/BL/ChatService.cs,,False,True,False,0,True,False,False,426
Communication,ChatMemberRead,,(not registered),CrossBuy/BL/ChatService.cs,,False,True,False,0,True,False,False,426
Communication,ChatMsgDto,,(not registered),CrossBuy/BL/ChatService.cs,,False,True,False,0,True,False,False,426
Communication,ChatReactionDto,,(not registered),CrossBuy/BL/ChatService.cs,,False,True,False,0,True,False,False,426
Communication,ChatService,IChatService,Scoped,CrossBuy/BL/ChatService.cs,IChatService,False,True,False,0,True,False,False,426
Communication,CommService,ICommService,Scoped,CrossBuy/BL/CommService.cs,ICommService,False,True,False,0,False,False,False,232
Communication,DocCommentDto,,(not registered),CrossBuy/BL/DocCommentService.cs,,False,True,False,0,True,False,False,96
Communication,DocCommentService,IDocCommentService,Scoped,CrossBuy/BL/DocCommentService.cs,IDocCommentService,False,True,False,0,True,False,False,96
Communication,FileManagerService,IFileManagerService,Scoped,CrossBuy/BL/FileManagerService.cs,IFileManagerService,False,True,False,0,False,False,False,252
Communication,NotificationService,INotificationService,Scoped,CrossBuy/BL/NotificationService.cs,INotificationService,False,True,False,0,True,False,False,137
Communication,NotificationTypes,,(not registered),CrossBuy/BL/NotificationTypes.cs,,False,False,False,0,False,False,False,101
FixedAssets,EquipmentDepreciationService,IEquipmentDepreciationService,Scoped,CrossBuy/BL/EquipmentDepreciationService.cs,IEquipmentDepreciationService,False,True,False,0,False,False,False,173
FixedAssets,FixedAssetInput,,(not registered),CrossBuy/BL/FixedAssetService.cs,,False,True,False,0,False,False,False,322
FixedAssets,FixedAssetService,IFixedAssetService,Scoped,CrossBuy/BL/FixedAssetService.cs,IFixedAssetService,False,True,False,0,False,False,False,322
FixedAssets,MaintenanceDueRow,,(not registered),CrossBuy/BL/MaintenanceService.cs,,False,True,False,0,False,False,False,113
FixedAssets,MaintenanceService,IMaintenanceService,Scoped,CrossBuy/BL/MaintenanceService.cs,IMaintenanceService,False,True,False,0,False,False,False,113
HR,AdministrativeBodiesCompanyService,IAdministrativeBodiesCompanyService,Scoped,CrossBuy/BL/AdministrativeBodiesCompanyService.cs,IAdministrativeBodiesCompanyService,False,True,False,0,False,False,False,61
HR,AdministrativeStructureService,IAdministrativeStructureService,Scoped,CrossBuy/BL/AdministrativeStructureService.cs,IAdministrativeStructureService,False,True,False,0,False,False,True,169
HR,AppraisalService,IAppraisalService,Scoped,CrossBuy/BL/AppraisalService.cs,IAppraisalService,False,True,False,0,True,False,False,202
HR,AttendanceMonthRow,,(not registered),CrossBuy/BL/AttendanceService.cs,,False,True,False,0,False,False,False,168
HR,AttendanceService,IAttendanceService,Scoped,CrossBuy/BL/AttendanceService.cs,IAttendanceService,False,True,False,0,False,False,False,168
HR,BranchEmployeeDto,,(not registered),CrossBuy/BL/PosSetupService.cs,,False,True,True,1,False,False,False,1129
HR,ContractService,IContractService,Scoped,CrossBuy/BL/ContractService.cs,IContractService,False,True,False,0,False,False,False,165
HR,ContractSummary,,(not registered),CrossBuy/BL/ContractService.cs,,False,True,False,0,False,False,False,165
HR,EmployeeCostService,IEmployeeCostService,Scoped,CrossBuy/BL/EmployeeCostService.cs,IEmployeeCostService,False,True,False,0,False,False,False,32
HR,EmployeeRequestService,IEmployeeRequestService,Scoped,CrossBuy/BL/EmployeeRequestService.cs,IEmployeeRequestService,False,True,False,0,True,False,False,138
HR,EmployeeService,IEmployeeService,Scoped,CrossBuy/BL/EmployeeService.cs,IEmployeeService,False,True,False,0,False,False,False,222
HR,FinalSettlementService,IFinalSettlementService,Scoped,CrossBuy/BL/FinalSettlementService.cs,IFinalSettlementService,False,True,False,0,False,False,False,147
HR,HolidayService,IHolidayService,Scoped,CrossBuy/BL/HolidayService.cs,IHolidayService,False,True,False,0,False,False,False,74
HR,HoursReportEmployeeDto,,(not registered),CrossBuy/BL/TimesheetService.cs,,False,True,False,0,False,False,False,171
HR,HrDocumentService,IHrDocumentService,Scoped,CrossBuy/BL/HrDocumentService.cs,IHrDocumentService,False,True,False,0,True,False,False,252
HR,HrHolidayRow,,(not registered),CrossBuy/BL/AdminDashboardDto.cs,,False,False,False,0,False,False,False,43
HR,HrLeaveRow,,(not registered),CrossBuy/BL/AdminDashboardDto.cs,,False,False,False,0,False,False,False,43
HR,JobTitleService,IJobTitles,Scoped,CrossBuy/BL/JobTitleService.cs,IJobTitles,False,True,False,0,False,False,False,63
HR,LeaveAccrualService,ILeaveAccrualService,Scoped,CrossBuy/BL/LeaveAccrualService.cs,ILeaveAccrualService,False,True,False,0,False,False,False,248
HR,LeaveBalanceRow,,(not registered),CrossBuy/BL/LeaveDashboardService.cs,,False,True,False,0,False,False,False,270
HR,LeaveDashboardService,ILeaveDashboardService,Scoped,CrossBuy/BL/LeaveDashboardService.cs,ILeaveDashboardService,False,True,False,0,False,False,False,270
HR,LeaveWorkflowService,ILeaveWorkflowService,Scoped,CrossBuy/BL/LeaveWorkflowService.cs,ILeaveWorkflowService,False,True,False,0,True,False,False,287
HR,PayrollDisbursementView,,(not registered),CrossBuy/BL/AccountingPostingService.cs,,False,True,False,0,False,False,False,395
HR,PayrollEmployeeLine,,(not registered),CrossBuy/BL/AccountingPostingService.cs,,False,True,False,0,False,False,False,395
HR,PayrollRunPreview,,(not registered),CrossBuy/BL/AccountingPostingService.cs,,False,True,False,0,False,False,False,395
HR,PeopleDashboardDto,,(not registered),CrossBuy/BL/LeaveDashboardService.cs,,False,True,False,0,False,False,False,270
HR,PolicesService,IPolicesService,Scoped,CrossBuy/BL/PolicesService.cs,IPolicesService,False,True,False,0,False,False,True,617
HR,RecruitmentService,IRecruitmentService,Scoped,CrossBuy/BL/RecruitmentService.cs,IRecruitmentService,False,True,False,0,False,False,False,276
HR,RecruitmentStages,,(not registered),CrossBuy/BL/RecruitmentService.cs,,False,True,False,0,False,False,False,276
HR,RevisedContract,,(not registered),CrossBuy/BL/VariationOrderService.cs,,False,True,False,0,False,False,False,165
HR,TrainingService,ITrainingService,Scoped,CrossBuy/BL/TrainingService.cs,ITrainingService,False,True,False,0,False,False,False,109
Inventory,BrandIdentity,,(not registered),CrossBuy/BL/BrandService.cs,,False,True,False,0,False,False,False,153
Inventory,BrandService,IBrandService,Scoped,CrossBuy/BL/BrandService.cs,IBrandService,False,True,False,0,False,False,False,153
Inventory,ChatConvListItem,,(not registered),CrossBuy/BL/ChatService.cs,,False,True,False,0,True,False,False,426
Inventory,ChecklistItem,,(not registered),CrossBuy/BL/RecruitmentService.cs,,False,True,False,0,False,False,False,276
Inventory,ExpiryItem,,(not registered),CrossBuy/BL/HrDocumentService.cs,,False,True,False,0,True,False,False,252
Inventory,IntegrityCheck,,(not registered),CrossBuy/BL/IntegrityCheckService.cs,,False,True,False,0,True,False,False,377
Inventory,IntegrityCheckHostedService,,HostedService,CrossBuy/BL/IntegrityCheckHostedService.cs,BackgroundService,True,False,False,0,False,False,False,36
Inventory,IntegrityCheckService,IIntegrityCheckService,Scoped,CrossBuy/BL/IntegrityCheckService.cs,IIntegrityCheckService,False,True,False,0,True,False,False,377
Inventory,InventoryAccessService,IInventoryAccessService,Scoped,CrossBuy/BL/InventoryAccessService.cs,IInventoryAccessService,False,True,False,0,False,False,True,91
Inventory,InventoryApprovalService,IInventoryApprovalService,Scoped,CrossBuy/BL/InventoryApprovalService.cs,IInventoryApprovalService,False,True,False,0,True,False,False,141
Inventory,ItemCategoryNode,,(not registered),CrossBuy/BL/ItemService.cs,,False,True,False,0,False,False,False,473
Inventory,ItemInput,,(not registered),CrossBuy/BL/ItemService.cs,,False,True,False,0,False,False,False,473
Inventory,ItemService,IItemService,Scoped,CrossBuy/BL/ItemService.cs,IItemService,False,True,False,0,False,False,False,473
Inventory,MailListItem,,(not registered),CrossBuy/BL/CommService.cs,,False,True,False,0,False,False,False,232
Inventory,OpeningStockLineInput,,(not registered),CrossBuy/BL/StockService.cs,,False,True,True,15,False,False,False,1724
Inventory,PosQuickMenuItemDto,,(not registered),CrossBuy/BL/PosSetupService.cs,,False,True,True,1,False,False,False,1129
Inventory,PosTopItem,,(not registered),CrossBuy/BL/PosDashboardDto.cs,,False,False,False,0,False,False,False,29
Inventory,PricingService,IPricingService,Scoped,CrossBuy/BL/PricingService.cs,IPricingService,False,True,False,0,False,False,False,532
Inventory,ProcurementService,IProcurementService,Scoped,CrossBuy/BL/ProcurementService.cs,IProcurementService,False,True,False,0,True,False,False,243
Inventory,ProjectStockRow,,(not registered),CrossBuy/BL/ProjectMaterialIssueService.cs,,False,True,False,0,False,False,False,125
Inventory,SellingService,ISellingService,Scoped,CrossBuy/BL/SellingService.cs,ISellingService,False,True,False,0,True,False,False,270
Inventory,StockBalanceRow,,(not registered),CrossBuy/BL/StockService.cs,,False,True,True,15,False,False,False,1724
Inventory,StockService,IStockService,Scoped,CrossBuy/BL/StockService.cs,IStockService,False,True,True,15,False,False,False,1724
Inventory,StoreCatalogService,IStoreCatalogService,Scoped,CrossBuy/BL/StoreCatalogService.cs,IStoreCatalogService,False,True,False,0,False,False,False,157
Inventory,ThreeWayMatchService,IThreeWayMatchService,Scoped,CrossBuy/BL/ThreeWayMatchService.cs,IThreeWayMatchService,False,True,False,0,False,False,False,84
Inventory,WarehouseService,IWarehouseService,Scoped,CrossBuy/BL/WarehouseService.cs,IWarehouseService,False,True,False,0,False,False,False,94
Manufacturing,ManufReport,,(not registered),CrossBuy/BL/ManufService.cs,,False,True,True,7,False,True,False,692
Manufacturing,ManufService,IManufService,Scoped,CrossBuy/BL/ManufService.cs,IManufService,False,True,True,7,False,True,False,692
Manufacturing,ManufWoCostRow,,(not registered),CrossBuy/BL/ManufService.cs,,False,True,True,7,False,True,False,692
POS,PosAccessService,IPosAccessService,Scoped,CrossBuy/BL/PosAccessService.cs,IPosAccessService,False,True,False,0,False,False,False,74
POS,PosDashboardDto,,(not registered),CrossBuy/BL/PosDashboardDto.cs,,False,False,False,0,False,False,False,29
POS,PosDayPoint,,(not registered),CrossBuy/BL/PosDashboardDto.cs,,False,False,False,0,False,False,False,29
POS,PosLoginContext,,(not registered),CrossBuy/BL/PosAccessService.cs,,False,True,False,0,False,False,False,74
POS,PosOrderDto,,(not registered),CrossBuy/BL/PosOrderService.cs,,False,True,True,5,False,False,False,1910
POS,PosOrderLineDto,,(not registered),CrossBuy/BL/PosOrderService.cs,,False,True,True,5,False,False,False,1910
POS,PosOrderLineModifierDto,,(not registered),CrossBuy/BL/PosOrderService.cs,,False,True,True,5,False,False,False,1910
POS,PosOrderService,IPosOrderService,Scoped,CrossBuy/BL/PosOrderService.cs,IPosOrderService,False,True,True,5,False,False,False,1910
POS,PosQuickMenuGroupDto,,(not registered),CrossBuy/BL/PosSetupService.cs,,False,True,True,1,False,False,False,1129
POS,PosRecentOrder,,(not registered),CrossBuy/BL/PosDashboardDto.cs,,False,False,False,0,False,False,False,29
POS,PosSetupService,IPosSetupService,Scoped,CrossBuy/BL/PosSetupService.cs,IPosSetupService,False,True,True,1,False,False,False,1129
POS,PosSyncLineInput,,(not registered),CrossBuy/BL/PosOrderService.cs,,False,True,True,5,False,False,False,1910
POS,PosSyncOrderInput,,(not registered),CrossBuy/BL/PosOrderService.cs,,False,True,True,5,False,False,False,1910
POS,PosSyncTipInput,,(not registered),CrossBuy/BL/PosOrderService.cs,,False,True,True,5,False,False,False,1910
POS,PosTenderInput,,(not registered),CrossBuy/BL/PosOrderService.cs,,False,True,True,5,False,False,False,1910
POS,PosTypeSlice,,(not registered),CrossBuy/BL/PosDashboardDto.cs,,False,False,False,0,False,False,False,29
Platform,AccountingPermissionAdapter,IModulePermissionAdapter,Scoped,CrossBuy/BL/Platform/PlatformPermissionProvider.cs,IModulePermissionAdapter,False,False,False,0,False,False,False,242
Platform,BusinessContextAccessor,IBusinessContextAccessor,Scoped,CrossBuy/BL/Platform/BusinessContextAccessor.cs,IBusinessContextAccessor,False,True,False,0,False,False,True,115
Platform,BusinessEventDispatchOptions,,(not registered),CrossBuy/BL/Platform/IEventDispatchStore.cs,,False,False,False,0,False,False,False,64
Platform,BusinessEventDispatchWorker,,HostedService,CrossBuy/BL/Platform/BusinessEventDispatchWorker.cs,BackgroundService,True,True,False,0,False,True,False,129
Platform,BusinessEventNotificationMapper,IBusinessEventNotificationMapper,Scoped,CrossBuy/BL/Platform/BusinessEventNotificationMapper.cs,IBusinessEventNotificationMapper,False,False,False,0,False,False,False,167
Platform,BusinessEventService,IBusinessEventService,Scoped,CrossBuy/BL/Platform/BusinessEventService.cs,IBusinessEventService,False,True,False,0,False,True,False,221
Platform,BusinessEventTypes,,(not registered),CrossBuy/BL/Platform/BusinessEventTypes.cs,,False,False,False,0,False,False,False,147
Platform,CrmPermissionAdapter,IModulePermissionAdapter,Scoped,CrossBuy/BL/Platform/PlatformPermissionProvider.cs,IModulePermissionAdapter,False,False,False,0,False,False,False,242
Platform,CustomerEvents,,(not registered),CrossBuy/BL/Platform/BusinessEventTypes.cs,,False,False,False,0,False,False,False,147
Platform,CustomerLegacyTimelineAdapter,ILegacyTimelineAdapter,Scoped,CrossBuy/BL/Platform/CustomerLegacyTimelineAdapter.cs,ILegacyTimelineAdapter,False,True,False,0,False,False,False,121
Platform,DefaultPermissionAdapter,IModulePermissionAdapter,Scoped,CrossBuy/BL/Platform/PlatformPermissionProvider.cs,IModulePermissionAdapter,False,False,False,0,False,False,False,242
