path,file,kind,ext,bytes,sha256_12,reference_count,referenced_by
CrossBuy/wwwroot/assets/imgs/theme/icons/icon-user.svg,icon-user.svg,brand-mark,svg,1771,158848fe6045,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets/imgs/theme/icons/icon-youtube-brand.svg,icon-youtube-brand.svg,brand-mark,svg,379,6c55d622e95e,0,
CrossBuy/wwwroot/assets/imgs/theme/icons/icon-youtube-white.svg,icon-youtube-white.svg,brand-mark,svg,379,0961413cdb0b,1,CrossBuy/Views/Shared/_mainLayout.cshtml
CrossBuy/wwwroot/assets/imgs/theme/icons/icon-youtube.svg,icon-youtube.svg,brand-mark,svg,379,81961d59939b,0,
CrossBuy/wwwroot/assets/imgs/theme/icons/logo-apple.svg,logo-apple.svg,brand-mark,svg,1868,a3087f1faacc,0,
CrossBuy/wwwroot/assets/imgs/theme/icons/logo-facebook.svg,logo-facebook.svg,brand-mark,svg,659,ca728efb6c1c,0,
CrossBuy/wwwroot/assets/imgs/theme/icons/logo-google.svg,logo-google.svg,brand-mark,svg,1385,6aa575757cc2,0,
CrossBuy/wwwroot/assets/imgs/theme/logo-2.svg,logo-2.svg,brand-mark,svg,21893,6251ccdb9ee9,0,
CrossBuy/wwwroot/assets/imgs/theme/logo-light.svg,logo-light.svg,brand-mark,svg,21914,95e0652a34f0,2,CrossBuy/Views/Hyper/PosLogin.cshtml; CrossBuy/Views/PosApp/Login.cshtml
CrossBuy/wwwroot/assets/imgs/theme/logo.svg,logo.svg,brand-mark,svg,21893,6251ccdb9ee9,8,CrossBuy/Views/Shared/_LayoutAccounting.cshtml; CrossBuy/Views/Shared/_LayoutBackend.cshtml; CrossBuy/Views/Shared/_LayoutHyperPos.cshtml; CrossBuy/Views/Shared/_LayoutInventory.cshtml …
CrossBuy/wwwroot/favicon.ico,favicon.ico,brand-mark,ico,5430,26dc5ff4bfb9,13,CrossBuy/Views/Account/Login.cshtml; CrossBuy/Views/Hyper/PosLogin.cshtml; CrossBuy/Views/Portal/Choose.cshtml; CrossBuy/Views/PosApp/Login.cshtml …
CrossBuy/wwwroot/uploads/library/1/company-logo.png,company-logo.png,brand-mark,png,5348,82debc294afe,0,
CrossBuy/BL/Reporting/Fonts/Cairo-Bold.ttf,Cairo-Bold.ttf,font,ttf,91664,cad856433493,2,CrossBuy/BL/Reporting/ReportFontLibrary.cs; CrossBuy/Views/Account/Login.cshtml
CrossBuy/BL/Reporting/Fonts/Cairo-Regular.ttf,Cairo-Regular.ttf,font,ttf,91500,7ecb9b6a4650,2,CrossBuy/BL/Reporting/ReportFontLibrary.cs; CrossBuy/Views/Account/Login.cshtml
CrossBuy/wwwroot/Backend-assets/fonts/cairo/Cairo-Bold.ttf,Cairo-Bold.ttf,font,ttf,91664,cad856433493,2,CrossBuy/BL/Reporting/ReportFontLibrary.cs; CrossBuy/Views/Account/Login.cshtml
CrossBuy/wwwroot/Backend-assets/fonts/cairo/Cairo-ExtraBold.ttf,Cairo-ExtraBold.ttf,font,ttf,94708,67526b4f18bb,1,CrossBuy/Views/Account/Login.cshtml
CrossBuy/wwwroot/Backend-assets/fonts/cairo/Cairo-Regular.ttf,Cairo-Regular.ttf,font,ttf,91500,7ecb9b6a4650,2,CrossBuy/BL/Reporting/ReportFontLibrary.cs; CrossBuy/Views/Account/Login.cshtml
CrossBuy/wwwroot/Backend-assets/fonts/cairo/Cairo-SemiBold.ttf,Cairo-SemiBold.ttf,font,ttf,94688,3fe2e182a88a,1,CrossBuy/Views/Account/Login.cshtml
CrossBuy/wwwroot/assets-en/fonts/uicons/uicons-regular-straight.woff,uicons-regular-straight.woff,font,woff,37724,866a3703a6f1,2,CrossBuy/wwwroot/assets-en/css/vendors/uicons-regular-straight.css; CrossBuy/wwwroot/assets/css/vendors/uicons-regular-straight.css
CrossBuy/wwwroot/assets-en/fonts/uicons/uicons-regular-straight.woff2,uicons-regular-straight.woff2,font,woff2,31072,e013f9caab04,2,CrossBuy/wwwroot/assets-en/css/vendors/uicons-regular-straight.css; CrossBuy/wwwroot/assets/css/vendors/uicons-regular-straight.css
CrossBuy/wwwroot/assets/fonts/uicons/uicons-regular-straight.woff,uicons-regular-straight.woff,font,woff,37724,866a3703a6f1,2,CrossBuy/wwwroot/assets-en/css/vendors/uicons-regular-straight.css; CrossBuy/wwwroot/assets/css/vendors/uicons-regular-straight.css
CrossBuy/wwwroot/assets/fonts/uicons/uicons-regular-straight.woff2,uicons-regular-straight.woff2,font,woff2,31072,e013f9caab04,2,CrossBuy/wwwroot/assets-en/css/vendors/uicons-regular-straight.css; CrossBuy/wwwroot/assets/css/vendors/uicons-regular-straight.css
