screenshot_id,scenario,step,language,route,role,record_id,before_after,filename,viewport,capture_time,readiness_ok,readiness_checks_passed,countersSettled,noSpinners,expect_check,duplicate_group,privacy_treatment,evidence_reference,file_exists,sha256_12,bytes,page_title,heading,html_lang,direction
ACC-ROLE-01_dev-superadmin,ACC-ROLE-01,signed in as dev.superadmin,en,/Accounting/Journals,dev.superadmin,,role view,ACC-ROLE-01_dev-superadmin.en.png,1600x1000,2026-09-21T09:48:15.225Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,ef1e38895c15,205186,Accounting System - CrossBuy,Journal Entries,en,ltr
ACC-ROLE-01_dev-auditor,ACC-ROLE-01,signed in as dev.auditor,en,/Accounting/Journals,dev.auditor,,role view,ACC-ROLE-01_dev-auditor.en.png,1600x1000,2026-09-21T09:48:39.480Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,1373cab7c175,205175,Accounting System - CrossBuy,Journal Entries,en,ltr
ACC-ROLE-01_dev-clerk,ACC-ROLE-01,signed in as dev.clerk,en,/Accounting/Journals,dev.clerk,,role view,ACC-ROLE-01_dev-clerk.en.png,1600x1000,2026-09-21T09:49:03.431Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,7906c153cec9,205168,Accounting System - CrossBuy,Journal Entries,en,ltr
ACC-ROLE-01_dev-otherco,ACC-ROLE-01,signed in as dev.otherco,en,/Accounting/Journals,dev.otherco,,role view,ACC-ROLE-01_dev-otherco.en.png,1600x1000,2026-09-21T09:49:24.478Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,23f04b1f7772,99448,Accounting System - CrossBuy,Journal Entries,en,ltr
ACC-ROLE-02_dev-superadmin-trial-balance,ACC-ROLE-02,trial balance as seen by dev.superadmin,en,/Accounting/TrialBalance,dev.superadmin,,role view,ACC-ROLE-02_dev-superadmin-trial-balance.en.png,1600x1000,2026-09-21T09:53:05.567Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,43e42f0f747b,137920,Accounting System - CrossBuy,Trial Balance,en,ltr
ACC-ROLE-02_dev-otherco-trial-balance,ACC-ROLE-02,trial balance as seen by dev.otherco,en,/Accounting/TrialBalance,dev.otherco,,role view,ACC-ROLE-02_dev-otherco-trial-balance.en.png,1600x1000,2026-09-21T09:53:12.242Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,0483247cf2fa,117450,Accounting System - CrossBuy,Trial Balance,en,ltr
ACC-ROLE-02_clerk-post-attempt,ACC-ROLE-02,roleless user attempts to post,en,/Accounting/Index,dev.clerk,,after post attempt,ACC-ROLE-02_clerk-post-attempt.en.png,1600x1000,2026-09-21T09:53:23.583Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,cfc88c553a7c,190669,Accounting System - CrossBuy,Accounting,en,ltr
ACC-SOD-01-01_threshold-set,ACC-SOD-01,threshold raised to 1000,en,/Accounting/AccountingRoles,admin,,configuration change,ACC-SOD-01-01_threshold-set.en.png,1600x1000,2026-09-21T09:54:58.072Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,e2702c0c2509,135478,Accounting System - CrossBuy,Accounting roles,en,ltr
ACC-SOD-01-02_admin-self-post,ACC-SOD-01,creator attempts to post their own above-threshold entry,en,/Accounting/Journals,admin (ChiefAccountant),,after post attempt,ACC-SOD-01-02_admin-self-post.en.png,1600x1000,2026-09-21T09:55:06.506Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,85d39c3699c3,217120,Accounting System - CrossBuy,Journal Entries,en,ltr
ACC-P2P-01-01_invoice-posted,ACC-P2P-01,1 purchase invoice posted,en,/Accounting/PurchaseInvoices,ChiefAccountant/admin,vendor 3015,after posting,ACC-P2P-01-01_invoice-posted.en.png,1600x1000,2026-09-21T09:12:40.639Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,caa7c778e8d8,187113,Accounting System - CrossBuy,Purchase Invoices,en,ltr
ACC-P2P-02-01_partial-payment,ACC-P2P-02,2 partial payment recorded,en,/Accounting/Payments,ChiefAccountant/admin,vendor 3015,after partial payment,ACC-P2P-02-01_partial-payment.en.png,1600x1000,2026-09-21T09:12:47.523Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,4bea620311d0,135317,Accounting System - CrossBuy,Payments,en,ltr
ACC-P2P-02-02_remaining-balance,ACC-P2P-02,3 remaining supplier balance,en,/Accounting/ApAging,ChiefAccountant/admin,vendor 3015,balance after partial payment,ACC-P2P-02-02_remaining-balance.en.png,1600x1000,2026-09-21T09:12:49.292Z,True,8,True,True,ZZ-DISCOVERY,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,d1c0d4b87249,113859,Accounting System - CrossBuy,AP Aging,en,ltr
ACC-P2P-02-03_final-settlement,ACC-P2P-02,4 final settlement,en,/Accounting/Payments,ChiefAccountant/admin,vendor 3015,after final settlement,ACC-P2P-02-03_final-settlement.en.png,1600x1000,2026-09-21T09:12:55.844Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,aea277cec20f,139834,Accounting System - CrossBuy,Payments,en,ltr
ACC-O2C-01-01_invoice-posted,ACC-O2C-01,1 sales invoice posted,en,/Accounting/SalesInvoices,ChiefAccountant/admin,customer 9047,after posting,ACC-O2C-01-01_invoice-posted.en.png,1600x1000,2026-09-21T09:13:02.496Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,9e0a8aa3b47c,186651,Accounting System - CrossBuy,Sales Invoices,en,ltr
ACC-O2C-02-01_partial-receipt,ACC-O2C-02,2 partial receipt recorded,en,/Accounting/Receipts,ChiefAccountant/admin,customer 9047,after partial receipt,ACC-O2C-02-01_partial-receipt.en.png,1600x1000,2026-09-21T09:13:09.179Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,eb0c200fe93a,161698,Accounting System - CrossBuy,Receipts,en,ltr
ACC-O2C-02-02_remaining-balance,ACC-O2C-02,3 remaining customer balance,en,/Accounting/ArAging,ChiefAccountant/admin,customer 9047,balance after partial receipt,,1600x1000,2026-09-21T09:13:41.651Z,False,8,True,True,MISSING: ZZ-DISCOVERY,,synthetic data on an isolated disposable database (CrossBuyAcctTest),NOT CAPTURED — readiness gate failed,False,,0,Accounting System - CrossBuy,AR Aging,en,ltr
ACC-O2C-02-03_final-collection,ACC-O2C-02,4 final collection,en,/Accounting/Receipts,ChiefAccountant/admin,customer 9047,after final collection,ACC-O2C-02-03_final-collection.en.png,1600x1000,2026-09-21T09:13:48.603Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,19519f189b62,161975,Accounting System - CrossBuy,Receipts,en,ltr
ACC-BNK-01-01_transfer,ACC-BNK-01,1 cash/bank transfer posted,en,/Accounting/Transfer,ChiefAccountant/admin,,after transfer,ACC-BNK-01-01_transfer.en.png,1600x1000,2026-09-21T09:18:53.597Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,369e178f2f13,97503,Accounting System - CrossBuy,Internal Transfer,en,ltr
ACC-FA-01-01_asset-created,ACC-FA-01,1 asset acquired and capitalised,en,/Accounting/FixedAssets,ChiefAccountant/admin,,after capitalisation,ACC-FA-01-01_asset-created.en.png,1600x1000,2026-09-21T09:19:00.186Z,True,8,True,True,ZZ-DISCOVERY,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,99e227690e83,170731,Accounting System - CrossBuy,Fixed Assets,en,ltr
ACC-FA-02-01_depreciation-run,ACC-FA-02,2 depreciation posted,en,/Accounting/DepreciationRuns,ChiefAccountant/admin,,after the depreciation run,ACC-FA-02-01_depreciation-run.en.png,1600x1000,2026-09-21T09:19:06.757Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,07fade797d64,124833,Accounting System - CrossBuy,Monthly Depreciation,en,ltr
ACC-PAY-01-01_payroll-posted,ACC-PAY-01,1 payroll posting attempted,en,/Accounting/Payroll,ChiefAccountant/admin,,after posting,ACC-PAY-01-01_payroll-posted.en.png,1600x1000,2026-09-21T09:19:09.569Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,08b2e98d4c64,154102,Accounting System - CrossBuy,Payroll Journal,en,ltr
ACC-FX-01-01_revaluation,ACC-FX-01,1 FX revaluation posted,en,/Currency/Revaluation?asOf=2026-09-21&rateType=Central,ChiefAccountant/admin,,after revaluation,ACC-FX-01-01_revaluation.en.png,1600x1000,2026-09-21T09:19:16.493Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,ec231cd43ed2,166318,Accounting System - CrossBuy,FX Revaluation,en,ltr
