screenshot_id,scenario,step,language,route,role,record_id,before_after,filename,viewport,capture_time,readiness_ok,readiness_checks_passed,countersSettled,noSpinners,expect_check,duplicate_group,privacy_treatment,evidence_reference,file_exists,sha256_12,bytes,page_title,heading,html_lang,direction
ACC-P2P-02-02_remaining-balance,ACC-P2P-02,supplier aging after settlement,ar,/Accounting/ApAging,ChiefAccountant/admin,,result (Arabic),ACC-P2P-02-02_remaining-balance.ar.png,1600x1000,2026-09-21T10:07:53.718Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,8c8ab00c23ce,97675,النظام المحاسبي - CrossBuy,أعمار ديون الموردين,ar,rtl
ACC-P2P-05-01_purchase-return,ACC-P2P-05,purchase return DN-2026-03016,ar,/Accounting/PurchaseReturns,ChiefAccountant/admin,,result (Arabic),ACC-P2P-05-01_purchase-return.ar.png,1600x1000,2026-09-21T10:07:55.445Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,e8ef708283b1,153601,النظام المحاسبي - CrossBuy,مرتجعات الشراء / إشعارات المدين,ar,rtl
ACC-O2C-01-01_invoice-posted,ACC-O2C-01,sales invoices incl. SV-2026-17613,ar,/Accounting/SalesInvoices,ChiefAccountant/admin,,result (Arabic),ACC-O2C-01-01_invoice-posted.ar.png,1600x1000,2026-09-21T10:07:57.163Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,1825fa170743,158628,النظام المحاسبي - CrossBuy,فواتير البيع,ar,rtl
ACC-O2C-02-01_partial-receipt,ACC-O2C-02,receipts incl. RC-2026-15485/6,ar,/Accounting/Receipts,ChiefAccountant/admin,,result (Arabic),ACC-O2C-02-01_partial-receipt.ar.png,1600x1000,2026-09-21T10:07:58.916Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,03de91cefaaa,133914,النظام المحاسبي - CrossBuy,سندات القبض,ar,rtl
ACC-O2C-02-02_remaining-balance,ACC-O2C-02,customer aging after collection,ar,/Accounting/ArAging,ChiefAccountant/admin,,result (Arabic),ACC-O2C-02-02_remaining-balance.ar.png,1600x1000,2026-09-21T10:08:00.650Z,True,8,True,True,(none set),DUP-02,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,017fe4c6b449,145260,النظام المحاسبي - CrossBuy,أعمار ديون العملاء,ar,rtl
ACC-O2C-03-01_sales-return,ACC-O2C-03,sales return CN-2026-04050,ar,/Accounting/SalesReturns,ChiefAccountant/admin,,result (Arabic),ACC-O2C-03-01_sales-return.ar.png,1600x1000,2026-09-21T10:08:02.392Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,b17f114c9225,155007,النظام المحاسبي - CrossBuy,مرتجعات البيع / إشعارات الدائن,ar,rtl
ACC-GL-02_journal-register,ACC-GL-01,the register showing every posting,ar,/Accounting/Journals,ChiefAccountant/admin,,result (Arabic),ACC-GL-02_journal-register.ar.png,1600x1000,2026-09-21T10:08:04.224Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,cd4d521d69fc,183241,النظام المحاسبي - CrossBuy,القيود اليومية,ar,rtl
ACC-FA-01-01_asset-created,ACC-FA-01,the capitalised asset,ar,/Accounting/FixedAssets,ChiefAccountant/admin,,result (Arabic),ACC-FA-01-01_asset-created.ar.png,1600x1000,2026-09-21T10:08:05.994Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,0d803e9610fc,140894,النظام المحاسبي - CrossBuy,الأصول الثابتة,ar,rtl
ACC-FA-02-01_depreciation-run,ACC-FA-02,depreciation runs,ar,/Accounting/DepreciationRuns,ChiefAccountant/admin,,result (Arabic),ACC-FA-02-01_depreciation-run.ar.png,1600x1000,2026-09-21T10:08:07.698Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,9623e10a08f0,99113,النظام المحاسبي - CrossBuy,الإهلاك الشهري,ar,rtl
ACC-BNK-01-01_transfer,ACC-BNK-01,cash/bank transfer screen,ar,/Accounting/Transfer,ChiefAccountant/admin,,result (Arabic),ACC-BNK-01-01_transfer.ar.png,1600x1000,2026-09-21T10:08:09.402Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,3e5563c2279f,75032,النظام المحاسبي - CrossBuy,تحويل بين الحسابات,ar,rtl
ACC-CLS-01-01_periods-before,ACC-CLS-01,fiscal periods,ar,/Accounting/Periods,ChiefAccountant/admin,,result (Arabic),ACC-CLS-01-01_periods-before.ar.png,1600x1000,2026-09-21T10:08:11.100Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,cc2812153048,133370,النظام المحاسبي - CrossBuy,الفترات المالية,ar,rtl
ACC-CLS-02-01_year-end-before,ACC-CLS-02,year-end close,ar,/Accounting/YearEndClose,ChiefAccountant/admin,,result (Arabic),ACC-CLS-02-01_year-end-before.ar.png,1600x1000,2026-09-21T10:08:12.883Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,bb88be8cfb16,115116,النظام المحاسبي - CrossBuy,إقفال السنة المالية,ar,rtl
ACC-FX-01-01_revaluation,ACC-FX-01,foreign-currency revaluation,ar,/Currency/Revaluation,ChiefAccountant/admin,,result (Arabic),ACC-FX-01-01_revaluation.ar.png,1600x1000,2026-09-21T10:08:14.723Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,4b93afb3cfc4,134381,النظام المحاسبي - CrossBuy,إعادة تقييم العملات الأجنبية,ar,rtl
ACC-RPT-10_reports-center,ACC-REPORTS,the reporting catalogue,ar,/Reports/Index,ChiefAccountant/admin,,result (Arabic),ACC-RPT-10_reports-center.ar.png,1600x1000,2026-09-21T10:08:17.070Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,63c7044d855b,137079,نظام المخازن - CrossBuy,مركز التقارير,ar,rtl
ACC-CLS-01-01_periods-before,ACC-CLS-01,1 fiscal periods before closing,en,/Accounting/Periods,ChiefAccountant/admin,period 9,before,ACC-CLS-01-01_periods-before.en.png,1600x1000,2026-09-21T09:22:18.912Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,07e824d516e5,158525,Accounting System - CrossBuy,Fiscal Periods,en,ltr
ACC-CLS-01-02_period-closed,ACC-CLS-01,2 after closing the period,en,/Accounting/Periods,ChiefAccountant/admin,period 9,after close,ACC-CLS-01-02_period-closed.en.png,1600x1000,2026-09-21T09:22:26.298Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,b2aef1d66b39,164610,Accounting System - CrossBuy,Fiscal Periods,en,ltr
ACC-CLS-01-03_closed-period-refusal,ACC-CLS-01,3 refusal when posting into a closed period,en,/Accounting/CreateJournal,ChiefAccountant/admin,,refusal,ACC-CLS-01-03_closed-period-refusal.en.png,1600x1000,2026-09-21T09:22:34.456Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,9706f8452bbc,106461,Accounting System - CrossBuy,New Journal Entry,en,ltr
ACC-CLS-03-01_period-reopened,ACC-CLS-03,4 after reopening,en,/Accounting/Periods,ChiefAccountant/admin,period 9,after reopen,ACC-CLS-03-01_period-reopened.en.png,1600x1000,2026-09-21T09:22:41.427Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,65a24bd2a965,163812,Accounting System - CrossBuy,Fiscal Periods,en,ltr
ACC-CLS-02-01_year-end-before,ACC-CLS-02,5 year-end close screen,en,/Accounting/YearEndClose,ChiefAccountant/admin,,before,ACC-CLS-02-01_year-end-before.en.png,1600x1000,2026-09-21T09:22:43.643Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,fd15ee649141,138916,Accounting System - CrossBuy,Year-end Close,en,ltr
ACC-CLS-02-02_year-end-after,ACC-CLS-02,6 after the year-end close,en,/Accounting/YearEndClose,ChiefAccountant/admin,FY 1,after,ACC-CLS-02-02_year-end-after.en.png,1600x1000,2026-09-21T09:22:50.589Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,0777573f5ac3,151582,Accounting System - CrossBuy,Year-end Close,en,ltr
ACC-MD-01-01_vendor-created,ACC-MD-01,1 supplier created,en,/Accounting/Vendors,ChiefAccountant/admin,,after,ACC-MD-01-01_vendor-created.en.png,1600x1000,2026-09-21T09:11:13.736Z,True,8,True,True,ZZ-DISCOVERY,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,49b53f5b0661,135042,Accounting System - CrossBuy,Vendors,en,ltr
ACC-MD-01-02_customer-created,ACC-MD-01,2 customer created,en,/Accounting/Customers,ChiefAccountant/admin,,after,ACC-MD-01-02_customer-created.en.png,1600x1000,2026-09-21T09:11:32.898Z,True,8,True,True,ZZ-DISCOVERY,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,3f7b8588bae6,167629,Accounting System - CrossBuy,Customers,en,ltr
ACC-P2P-04-01_stock-invoice-posted,ACC-P2P-04,1 stock purchase invoice posted,en,/Accounting/PurchaseInvoices,ChiefAccountant/admin,vendor 3015 item 5181,after posting,ACC-P2P-04-01_stock-invoice-posted.en.png,1600x1000,2026-09-21T09:17:06.080Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,e597e73f05e0,187365,Accounting System - CrossBuy,Purchase Invoices,en,ltr
ACC-P2P-05-01_purchase-return,ACC-P2P-05,2 purchase return posted,en,/Accounting/PurchaseReturns,ChiefAccountant/admin,vendor 3015,after posting the debit note,ACC-P2P-05-01_purchase-return.en.png,1600x1000,2026-09-21T09:17:12.670Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,740334efcd25,191366,Accounting System - CrossBuy,Purchase Returns / Debit Notes,en,ltr
